rating_loop.thisRepN,rating_loop.thisTrialN,rating_loop.thisN,rating_loop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeScreen.stopped,trial.started,trial.stopped,sliderRating.response,slider_stop.response,temperature_PT,sliderRating.markerPos,GoodbyScreen.started,text.started,GoodbyScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.16575960023328662,5.541104200296104,,,,,,,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
,,,,,,,,,,,,,,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
0,0,0,0,2024-09-17_16:36:58.662341,,,,6.0587022001855075,8.061455100309104,None,None,30.0,None,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
1,0,1,0,2024-09-17_16:37:00.731066,,,,8.12809030013159,10.060649100225419,None,None,30.1,None,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
2,0,2,0,2024-09-17_16:37:02.730520,,,,10.126237200107425,12.061032299883664,None,None,30.1,None,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
3,0,3,0,2024-09-17_16:37:04.724890,,,,12.126309799961746,14.060483200009912,None,None,30.200000000000003,None,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
4,0,4,0,2024-09-17_16:37:06.726863,,,,14.12639020010829,16.05920290015638,None,None,30.3,4.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
5,0,5,0,2024-09-17_16:37:08.730161,,,,16.124769099988043,18.05882959999144,None,None,30.3,2.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
6,0,6,0,2024-09-17_16:37:10.729404,,,,18.124292500317097,20.05913220020011,None,None,30.400000000000002,2.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
7,0,7,0,2024-09-17_16:37:12.730014,,,,20.124409399926662,22.059184100013226,None,None,30.400000000000002,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
8,0,8,0,2024-09-17_16:37:14.725229,,,,22.123974800109863,24.058701100293547,None,None,30.5,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
9,0,9,0,2024-09-17_16:37:16.729197,,,,24.12469860026613,26.058554500341415,None,None,30.5,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
10,0,10,0,2024-09-17_16:37:18.728744,,,,26.123670400120318,28.059562200214714,None,None,30.5,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
11,0,11,0,2024-09-17_16:37:20.730356,,,,28.124471900053322,30.058691900223494,None,None,30.6,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
12,0,12,0,2024-09-17_16:37:22.726860,,,,30.12295960029587,32.058997500222176,None,None,30.6,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
13,0,13,0,2024-09-17_16:37:24.726341,,,,32.12445090012625,34.058567699976265,None,None,30.6,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
14,0,14,0,2024-09-17_16:37:26.729936,,,,34.123944600112736,36.058851700276136,None,None,30.6,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
15,0,15,0,2024-09-17_16:37:28.726791,,,,36.124979900196195,38.057967599947006,None,None,30.6,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
