rating_loop.thisRepN,rating_loop.thisTrialN,rating_loop.thisN,rating_loop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeScreen.stopped,trial.started,trial.stopped,sliderRating.response,slider_stop.response,temperature_PT,sliderRating.markerPos,GoodbyScreen.started,text.started,GoodbyScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.09889260027557611,139.1684814002365,,,,,,,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
,,,,,,,,,,,,,,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
0,0,0,0,2024-09-18_16:47:48.159896,,,,139.68412430025637,141.69136640010402,None,None,34.7,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
1,0,1,0,2024-09-18_16:47:50.226313,,,,141.7564341998659,143.69134829984978,None,None,34.7,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
2,0,2,0,2024-09-18_16:47:52.228638,,,,143.75583370029926,145.69171749986708,None,None,34.7,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
3,0,3,0,2024-09-18_16:47:54.228663,,,,145.7563066999428,147.68904930027202,None,None,34.800000000000004,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
4,0,4,0,2024-09-18_16:47:56.222141,,,,147.75222899997607,149.68886739993468,None,None,34.800000000000004,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
5,0,5,0,2024-09-18_16:47:58.218732,,,,149.75165340024978,151.68962500011548,None,None,34.800000000000004,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
6,0,6,0,2024-09-18_16:48:00.224110,,,,151.75316719990224,153.69096200028434,None,None,34.800000000000004,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
7,0,7,0,2024-09-18_16:48:02.225723,,,,153.75491240015253,155.6889575002715,None,None,34.800000000000004,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
8,0,8,0,2024-09-18_16:48:04.222172,,,,155.75227950001135,157.6912449002266,None,None,34.7,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
9,0,9,0,2024-09-18_16:48:06.225475,,,,157.75503230001777,159.69101179996505,None,None,34.7,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
10,0,10,0,2024-09-18_16:48:08.230558,,,,159.75498740002513,161.68858380010352,None,None,34.7,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
11,0,11,0,2024-09-18_16:48:10.223166,,,,161.75237159989774,163.68770200014114,None,None,34.7,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
12,0,12,0,2024-09-18_16:48:12.224276,,,,163.7514301999472,165.68772300006822,None,None,34.7,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
13,0,13,0,2024-09-18_16:48:14.227468,,,,165.7516963998787,167.68985169986263,None,None,34.7,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
14,0,14,0,2024-09-18_16:48:16.227501,,,,167.75313389999792,169.68938740016893,None,None,34.6,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
15,0,15,0,2024-09-18_16:48:18.229988,,,,169.7548028002493,171.6875614002347,None,None,34.6,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
16,0,16,0,2024-09-18_16:48:20.222095,,,,171.75074100028723,173.68917819997296,None,None,34.6,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
17,0,17,0,2024-09-18_16:48:22.227644,,,,173.75427770009264,175.68892450025305,None,None,34.7,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
18,0,18,0,2024-09-18_16:48:24.229771,,,,175.75359630025923,177.6895264000632,None,None,34.6,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
19,0,19,0,2024-09-18_16:48:26.230722,,,,177.75329839996994,179.68715219991282,None,None,34.6,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
20,0,20,0,2024-09-18_16:48:28.227924,,,,179.7508735000156,181.68992190016434,None,None,34.6,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
21,0,21,0,2024-09-18_16:48:30.228810,,,,181.7547539002262,183.68967129988596,None,None,34.7,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
22,0,22,0,2024-09-18_16:48:32.231514,,,,183.75422780029476,185.6897785998881,None,None,34.7,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
