rating_loop.thisRepN,rating_loop.thisTrialN,rating_loop.thisN,rating_loop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeScreen.stopped,trial.started,trial.stopped,sliderRating.response,slider_stop.response,temperature_PT,sliderRating.markerPos,GoodbyScreen.started,text.started,GoodbyScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.11933209979906678,2.4124869001097977,,,,,,,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
,,,,,,,,,,,,,,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
0,0,0,0,2024-09-18_16:56:10.969220,,,,2.929359400179237,4.933121399953961,None,None,35.800000000000004,None,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
1,0,1,0,2024-09-18_16:56:13.039169,,,,4.997103900182992,6.934388400055468,None,None,35.6,None,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
2,0,2,0,2024-09-18_16:56:15.035419,,,,6.998013999778777,8.93240759987384,None,None,35.5,7.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
3,0,3,0,2024-09-18_16:56:17.035270,,,,8.994870800059289,10.93082039989531,None,None,35.4,4.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
4,0,4,0,2024-09-18_16:56:19.036633,,,,10.994846299756318,12.931250399909914,None,None,35.300000000000004,4.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
5,0,5,0,2024-09-18_16:56:21.037281,,,,12.995974899735302,14.930360400117934,None,None,35.2,69.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
6,0,6,0,2024-09-18_16:56:23.035646,,,,14.994959599804133,16.92974440008402,None,None,35.1,1.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
7,0,7,0,2024-09-18_16:56:25.033742,,,,16.993226499762386,18.93049310008064,None,None,35.1,1.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
8,0,8,0,2024-09-18_16:56:27.036634,,,,18.994636999908835,20.931432699784636,None,None,35.1,15.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
